service_date,unique_patients,non_hospital_ammount,unique_service_codes,total_racords,EMA_7,total_amount_net
2022-01-01,33,159311.2,57,80,159311.2,159311.2
2022-01-02,84,486975.29,158,347,361936.39428571425,513905.29
2022-01-03,163,882060.12,217,607,592401.6681081081,894887.34
2022-01-04,150,871642.62,219,558,705066.8336,900470.48
2022-01-05,176,1118811.58,267,798,860066.9852496799,1177938.39
2022-01-06,172,966660.06,217,559,902696.34999703,1000236.0
2022-01-07,133,684323.87,195,462,850793.2384334718,722796.82
2022-01-08,195,1239116.97,268,816,966532.1040447647,1267400.88
2022-01-09,191,1179325.4,242,661,1028239.9389590903,1194830.19
2022-01-10,295,1449152.33,328,994,1204469.097532902,1693460.24
2022-01-11,347,1888620.58,351,1171,1429106.0269201824,2065066.53
2022-01-12,344,2018028.28,338,1267,1612727.919395513,2140327.71
2022-01-13,332,2000301.63,346,1192,1737532.476869194,2100086.09
2022-01-14,381,2275610.82,377,1518,1892848.6404807903,2347727.47
2022-01-15,292,1709101.45,278,930,1858393.4903046142,1756869.8
2022-01-16,243,1412408.87,280,903,1760553.7571338569,1470956.99
2022-01-17,365,2333356.68,353,1283,1935820.5313713355,2456350.97
2022-01-18,391,2396744.89,377,1385,2085301.9237863235,2530375.17
2022-01-19,360,2193010.01,332,1300,2134246.2909550886,2280251.59
2022-01-20,346,1951571.46,352,1159,2128124.2489235355,2109835.78
2022-01-21,403,2273257.56,348,1370,2194674.051839808,2393690.33
2022-01-22,279,1599692.89,284,1159,2066155.358872254,1681516.29
2022-01-23,282,1490742.03,280,933,1930290.531710857,1523423.12
2022-01-24,395,2258079.57,382,1398,2058497.0225577843,2442601.93
2022-01-25,383,2253952.82,377,1386,2155433.193099339,2445949.91
2022-01-26,342,1960933.13,404,1256,2157074.9189270283,2161996.39
2022-01-27,336,1981009.65,372,1235,2156031.3074285807,2152902.24
2022-01-28,355,2079636.18,383,1324,2181583.940502767,2258209.39
2022-01-29,307,1807959.48,325,1078,2107841.254046299,1886683.43
2022-01-30,262,1427501.32,272,853,1957261.2271387812,1505628.71
2022-01-31,362,2026291.33,383,1400,2032668.8076865978,2258851.15
2022-02-01,391,2335978.54,350,1353,2158216.029787951,2534807.25
2022-02-02,368,2288334.77,402,1427,2254615.437506721,2543784.61
2022-02-03,398,2532618.08,395,1567,2355963.727263412,2659985.69
2022-02-04,376,2131416.98,383,1402,2357370.462562704,2361590.43
2022-02-05,341,2065293.41,336,1229,2300424.7619726746,2129594.9
2022-02-06,285,1621858.73,282,1020,2144250.3061191435,1675741.83
2022-02-07,387,2348217.96,415,1539,2239783.982576119,2526378.18
2022-02-08,375,2288488.84,396,1525,2289427.790094993,2438356.55
