service_date,unique_patients,non_hospital_ammount,unique_service_codes,total_racords,total_amount_net
2023-06-19,450,2591921.04,432,1524,2782765.64
2023-06-20,476,2851618.47,466,1777,3079376.25
2023-06-21,458,2515602.05,414,1525,2729174.58
2023-06-22,468,2918558.44,465,1866,3207966.81
2023-06-23,429,2564377.61,410,1516,2744276.02
2023-06-24,306,1952281.56,361,1217,2102264.9
2023-06-25,237,1391953.22,328,911,1562301.89
2023-06-26,463,2621716.02,386,1498,2778181.02
2023-06-27,469,2858441.6,434,1656,3068346.85
2023-06-28,489,2648721.75,418,1523,2909409.9
2023-06-29,461,2633366.28,425,1641,2822514.95
2023-06-30,452,2498531.06,417,1583,2719878.24
2023-07-01,297,2040238.43,333,1232,2143054.68
2023-07-02,272,1731682.73,351,1159,1862954.21
2023-07-03,437,2419067.62,428,1550,2605084.91
2023-07-04,458,2711094.58,472,1976,3083974.24
2023-07-05,436,2525205.58,424,1583,2802787.62
2023-07-06,440,2292795.02,411,1407,2552432.11
2023-07-07,400,2399671.64,383,1412,2537779.79
2023-07-08,312,2018240.2,305,1063,2075226.09
2023-07-09,239,1571153.83,314,870,1625261.6
2023-07-10,415,2427084.82,411,1574,2707773.89
2023-07-11,451,2635120.14,447,1773,2855842.86
2023-07-12,436,2828511.01,469,1758,3071042.05
2023-07-13,440,2573885.08,454,1586,2860362.05
2023-07-14,419,2535983.32,430,1480,2754806.98
2023-07-15,346,2233265.98,359,1302,2338335.15
2023-07-16,255,1540389.86,298,1029,1602802.23
2023-07-17,429,2821348.94,392,1598,2952144.41
2023-07-18,446,2992175.6,427,1868,3156589.44
2023-07-19,449,2502938.12,412,1447,2620092.48
2023-07-20,440,2716459.64,448,1808,2937873.5
2023-07-21,429,2610051.27,450,1587,2771337.03
2023-07-22,317,1795169.42,385,1209,1953669.84
2023-07-23,254,1479860.48,330,980,1597388.82
2023-07-24,439,2473891.49,406,1487,2686049.01
2023-07-25,494,2759540.17,409,1611,2930288.84
2023-07-26,433,2478660.42,384,1358,2658003.33
2023-07-27,440,2684281.62,409,1509,2792718.71
2023-07-28,392,2194176.62,413,1520,2493978.48
2023-07-29,353,2195493.51,389,1291,2358291.12
2023-07-30,252,1312083.33,335,1016,1464803.37
2023-07-31,387,2028100.97,372,1313,2241586.93
2023-08-01,429,2647674.71,431,1580,2910459.61
2023-08-02,487,2947573.76,462,1724,3215536.38
2023-08-03,451,2668729.74,456,1627,2888876.9
2023-08-04,364,2236025.97,360,1287,2337180.67
2023-08-05,292,2035071.37,343,1121,2104798.22
2023-08-06,264,1567857.29,305,870,1642277.24
2023-08-07,421,2492175.66,412,1451,2674124.05
2023-08-08,465,2525300.36,448,1533,2751605.77
2023-08-09,457,2844768.73,477,1815,3130608.33
2023-08-10,432,2482487.1,416,1610,2658015.49
2023-08-11,421,2396272.07,412,1388,2563837.39
2023-08-12,333,2221877.74,356,1253,2341481.39
2023-08-13,260,1579945.25,292,913,1622489.01
2023-08-14,430,2719395.57,397,1495,2834150.77
2023-08-15,505,3087823.66,406,1719,3209184.23
2023-08-16,433,2523803.76,345,1324,2598756.2
2023-08-17,449,2539514.95,390,1594,2691605.72
2023-08-18,464,3001209.4,458,1771,3248722.62
2023-08-19,356,2162370.55,408,1468,2364590.88
2023-08-20,263,1682830.75,328,1010,1787883.43
2023-08-21,456,2745163.1,389,1591,2886695.3
2023-08-22,501,2942675.05,468,1818,3173920.08
2023-08-23,479,2853425.0,512,1821,3164965.15
2023-08-24,451,2631269.01,461,1733,2897851.49
2023-08-25,418,2295838.86,445,1439,2507692.33
2023-08-26,336,2299784.68,392,1358,2464790.94
2023-08-27,306,1878723.22,390,1141,1998004.29
2023-08-28,529,3014477.83,450,1723,3140921.08
2023-08-29,514,3103853.55,506,1888,3363071.36
2023-08-30,481,2767851.33,460,1636,2895879.76
2023-08-31,492,3015886.86,464,1712,3204721.03
2023-09-01,405,2182344.42,413,1415,2320447.71
2023-09-02,327,1993151.33,337,1134,2045509.87
2023-09-03,262,1590329.7,300,883,1634723.02
2023-09-04,470,2803613.63,413,1639,3030694.17
2023-09-05,479,2790850.98,450,1634,3001367.36
2023-09-06,472,2770514.69,476,1833,3079544.19
2023-09-07,473,2851138.81,457,1651,3051418.54
2023-09-08,447,2674201.03,473,1801,2960548.97
2023-09-09,399,2378747.3,441,1490,2552775.64
2023-09-10,274,1537078.74,343,994,1629603.99
2023-09-11,504,2667142.69,422,1561,2901310.84
2023-09-12,525,3144563.84,476,1685,3332610.42
2023-09-13,503,2892445.36,450,1817,3199134.68
2023-09-14,490,2691292.18,478,1692,2894848.02
2023-09-15,476,2788999.84,415,1607,2927080.42
2023-09-16,355,2320096.03,377,1265,2391154.4
2023-09-17,294,1656343.72,326,1016,1737115.02
2023-09-18,506,3041335.71,482,1829,3224226.8
2023-09-19,548,3322039.7,482,1949,3538270.2
2023-09-20,506,2856086.96,497,1751,3000378.44
2023-09-21,499,2688865.75,500,1720,3032035.05
2023-09-22,469,2787000.66,477,1664,3069736.46
2023-09-23,324,1992721.4,338,1226,2055525.93
2023-09-24,305,1650371.89,301,981,1713874.53
2023-09-25,488,2847633.92,464,1807,3174772.32
2023-09-26,488,2892244.12,432,1629,3072327.98
2023-09-27,476,2664688.52,429,1609,2853646.84
2023-09-28,504,3150033.27,495,1845,3371764.3
2023-09-29,480,2600208.19,419,1547,2797691.0
2023-09-30,398,2300604.45,352,1350,2393325.61
2023-10-01,297,1674770.77,358,1061,1765026.73
2023-10-02,489,2860973.24,415,1523,3044161.76
2023-10-03,490,3221036.56,483,1882,3449817.11
2023-10-04,555,3221333.66,474,1883,3472869.17
2023-10-05,482,2977534.92,431,1673,3131367.0
2023-10-06,486,2629098.29,396,1547,2785377.77
2023-10-07,355,2355482.17,402,1399,2460058.45
2023-10-08,350,2127870.03,378,1308,2221163.01
2023-10-09,468,2486765.21,402,1452,2673126.6
2023-10-10,478,2782754.47,425,1640,3067203.4
2023-10-11,511,3206780.28,480,1772,3355257.11
2023-10-12,462,2741675.76,442,1688,2960531.28
2023-10-13,455,2678691.82,478,1612,2867275.27
2023-10-14,376,2448838.93,372,1366,2518184.89
2023-10-15,322,1927567.69,334,1107,1967428.86
2023-10-16,520,3124397.69,466,1822,3294943.74
2023-10-17,544,3378861.26,455,1891,3494487.57
2023-10-18,495,3048341.08,475,1726,3257797.19
2023-10-19,499,3268790.7,417,1936,3359978.87
2023-10-20,524,3114968.04,388,1641,3191359.2
2023-10-21,482,3078287.77,378,1563,3106663.28
2023-10-22,331,1969992.21,341,1101,1995592.92
2023-10-23,541,3117292.73,531,2035,3422853.36
2023-10-24,498,2966556.61,387,1587,3048854.08
2023-10-25,534,3086177.37,470,1907,3422937.97
2023-10-26,477,3027314.92,440,1656,3231055.03
2023-10-27,494,2734900.87,408,1638,2939177.88
2023-10-28,386,2533712.44,367,1415,2651214.38
2023-10-29,318,1781724.41,340,1038,1845244.06
2023-10-30,485,2774318.56,393,1615,2879783.49
2023-10-31,508,2824402.64,410,1668,3003400.99
2023-11-01,476,2776231.72,469,1694,2952266.03
2023-11-02,471,2753535.57,370,1565,2950003.73
2023-11-03,433,2523156.74,421,1549,2734327.64
2023-11-04,338,2270977.25,359,1221,2380062.41
2023-11-05,266,1590529.29,306,1028,1647049.34
2023-11-06,386,2314749.16,395,1459,2382204.93
2023-11-07,505,3130737.45,466,1717,3288976.64
2023-11-08,519,3143897.82,457,1950,3315101.79
2023-11-09,515,3158576.76,521,1919,3484737.11
2023-11-10,550,3202901.8,516,2102,3543248.53
2023-11-11,435,2692262.76,420,1677,2956533.92
2023-11-12,374,2145583.32,401,1441,2350637.82
2023-11-13,522,3008263.85,462,1820,3249841.21
2023-11-14,559,3256683.97,488,1896,3526117.44
2023-11-15,507,3023565.21,441,1725,3171122.46
2023-11-16,520,3235610.69,468,1944,3494990.74
2023-11-17,537,3275643.36,422,1847,3443466.17
2023-11-18,445,2829849.98,380,1543,2879667.89
2023-11-19,356,2134410.98,309,1136,2175430.12
2023-11-20,537,3138035.29,445,1696,3305037.45
2023-11-21,539,3425516.17,516,2054,3652114.01
2023-11-22,580,3354541.85,496,1873,3622624.22
2023-11-23,549,3056187.91,434,1784,3213385.66
2023-11-24,491,2888628.13,381,1596,3010339.57
2023-11-25,422,2529052.71,357,1392,2649606.09
2023-11-26,384,2157017.63,345,1253,2221195.98
2023-11-27,545,3378217.55,391,1778,3553525.94
2023-11-28,597,3879641.03,532,2276,4239144.92
2023-11-29,562,3185262.43,500,2028,3591653.07
2023-11-30,573,3463706.01,515,1948,3800945.71
2023-12-01,538,3310792.44,485,1945,3635199.83
2023-12-02,447,2818590.69,392,1668,2943176.95
2023-12-03,360,2201202.21,367,1331,2299904.53
2023-12-04,548,3436188.25,496,2084,3660064.11
2023-12-05,574,3381491.69,474,2011,3600270.95
2023-12-06,579,3534786.13,504,2116,3874655.24
2023-12-07,540,3059109.27,441,1808,3310960.64
2023-12-08,521,3473134.53,431,1866,3694799.65
2023-12-09,443,2731176.31,362,1460,2874985.66
2023-12-10,400,2337283.63,365,1355,2439866.64
2023-12-11,567,2991733.19,442,1878,3188224.79
2023-12-12,529,3006127.49,459,1881,3327658.21
2023-12-13,551,3191117.24,465,1909,3531016.62
2023-12-14,548,3103575.22,484,1695,3417961.02
2023-12-15,466,2843469.5,439,1547,2988251.52
2023-12-16,439,2729921.56,402,1445,2768274.54
2023-12-17,344,2139946.78,376,1270,2252298.8
2023-12-18,475,2743948.13,447,1628,2903666.44
2023-12-19,545,3372110.19,482,1891,3535528.35
2023-12-20,526,3128280.3,492,1832,3342718.88
2023-12-21,546,3193895.86,443,1800,3451458.12
2023-12-22,473,2598049.68,438,1505,2799135.86
2023-12-23,394,2536920.32,438,1435,2654470.2
2023-12-24,353,1921708.06,331,1142,1990207.9
2023-12-25,517,3010171.57,488,1826,3345688.74
2023-12-26,505,2901707.92,407,1564,3072601.17
2023-12-27,523,2980890.94,457,1702,3185595.84
2023-12-28,455,2747411.45,388,1458,2822550.24
2023-12-29,414,2329382.95,368,1317,2377599.85
2023-12-30,296,1621318.09,311,981,1663232.3
2023-12-31,120,475869.66,150,279,497770.32
