service_date,unique_patients,non_hospital_ammount,unique_service_codes,total_racords,total_amount_net
2022-05-03,281,1785942.02,298,1091,1838366.01
2022-05-04,383,2451458.03,403,1490,2630864.3
2022-05-05,448,2480333.85,442,1733,2723774.9
2022-05-06,377,2167240.58,380,1344,2350355.86
2022-05-07,270,1470846.52,267,933,1531225.24
2022-05-08,242,1468507.49,262,838,1503263.28
2022-05-09,181,984572.54,212,645,999230.94
2022-05-10,282,1660497.08,314,1177,1700916.9
2022-05-11,446,2431902.83,399,1510,2554811.9
2022-05-12,481,2616279.54,412,1676,2748684.77
2022-05-13,424,2680270.17,412,1837,2875513.8
2022-05-14,388,2090600.39,351,1286,2187501.59
2022-05-15,328,1819602.06,311,1104,1886108.16
2022-05-16,462,2802194.18,467,1703,2920455.39
2022-05-17,436,2520293.02,412,1721,2737766.07
2022-05-18,455,2520018.17,472,1742,2736482.37
2022-05-19,522,2827563.33,470,1802,3147909.11
2022-05-20,464,2465971.12,429,1673,2744750.35
2022-05-21,405,2217506.21,426,1519,2458297.46
2022-05-22,319,1783484.83,367,1165,1910532.03
2022-05-23,472,2514453.76,429,1590,2730708.08
2022-05-24,468,2663317.25,453,1782,2925912.76
2022-05-25,469,2570537.13,431,1690,2748734.16
2022-05-26,491,2920824.11,488,1990,3224730.29
2022-05-27,453,2736877.24,457,1829,3005103.46
2022-05-28,410,2355508.86,417,1523,2482718.31
2022-05-29,304,1564651.87,318,1093,1653307.5
2022-05-30,477,2467090.28,423,1521,2570609.98
2022-05-31,431,2283358.27,401,1527,2439920.25
2022-06-01,473,2525229.31,477,1640,2783034.06
2022-06-02,417,2413617.41,425,1517,2637569.02
2022-06-03,456,2491711.59,399,1616,2628307.79
2022-06-04,343,2085909.75,350,1503,2186433.75
2022-06-05,304,1725009.27,317,1065,1797457.57
2022-06-06,437,2555543.2,385,1506,2683482.9
2022-06-07,455,2501113.69,409,1597,2664431.07
2022-06-08,456,2447723.06,473,1654,2632713.69
2022-06-09,446,2419974.29,437,1591,2759334.65
2022-06-10,408,2322276.7,431,1736,2606701.53
2022-06-11,288,1616192.32,298,1073,1651428.26
2022-06-12,221,1297495.98,264,730,1325746.74
2022-06-13,269,1641661.71,319,1063,1720084.37
2022-06-14,449,2294629.94,399,1546,2510381.45
2022-06-15,455,2457274.34,459,1628,2627859.57
2022-06-16,480,2750034.72,443,1751,3015430.15
2022-06-17,422,2304516.88,440,1498,2562960.02
2022-06-18,319,1874212.05,332,1221,1963307.61
2022-06-19,297,1729498.95,333,1170,1820952.24
2022-06-20,453,2516497.54,441,1541,2730689.26
2022-06-21,471,2648544.52,431,1681,2796608.17
2022-06-22,470,2515523.09,442,1738,2675937.38
2022-06-23,442,2310477.46,431,1741,2578960.15
2022-06-24,432,2496536.47,425,1698,2742059.86
2022-06-25,302,1654560.45,336,1160,1758061.36
2022-06-26,272,1380461.03,262,829,1460696.87
2022-06-27,455,2441593.65,444,1707,2797963.56
2022-06-28,484,2855075.23,411,1824,3095321.5
2022-06-29,467,2517246.36,450,1680,2768120.87
2022-06-30,507,2511839.54,421,1640,2893807.01
2022-07-01,376,2004670.68,367,1306,2247779.03
2022-07-02,278,1511025.92,314,1031,1605551.55
2022-07-03,229,1284902.6,278,923,1354834.85
2022-07-04,410,2142778.5,385,1436,2280644.65
2022-07-05,424,2498590.4,384,1551,2629396.04
2022-07-06,377,2201214.0,402,1434,2393606.23
2022-07-07,388,2173476.42,399,1361,2281312.14
2022-07-08,391,1983076.8,339,1285,2094410.23
2022-07-09,284,1613573.6,280,920,1651237.45
2022-07-10,240,1310438.1,291,897,1376991.82
2022-07-11,436,2492721.64,402,1618,2641534.16
2022-07-12,412,2510545.5,408,1649,2616046.8
2022-07-13,400,2078167.98,369,1337,2190514.11
2022-07-14,384,2127164.82,374,1314,2414965.59
2022-07-15,358,2023450.2,386,1385,2260598.78
2022-07-16,268,1664431.2,301,978,1757992.98
2022-07-17,236,1373340.0,291,911,1464345.28
2022-07-18,422,2236101.9,406,1455,2470388.0
2022-07-19,435,2462304.06,416,1750,2689649.77
2022-07-20,409,2343044.58,434,1574,2648031.95
2022-07-21,441,2508287.1,426,1539,2663612.62
2022-07-22,392,2260789.52,397,1525,2458909.02
2022-07-23,321,1752529.2,342,1115,1873838.01
2022-07-24,231,1346697.8,298,894,1416350.0
2022-07-25,426,2227888.1,385,1428,2421493.64
2022-07-26,462,2595069.8,435,1640,2726290.55
2022-07-27,429,2407459.1,417,1519,2582113.65
2022-07-28,380,2152322.72,423,1370,2373922.64
2022-07-29,386,2080332.4,417,1348,2310994.95
2022-07-30,304,1765946.3,365,1113,1959082.02
2022-07-31,257,1523741.1,301,1106,1652998.7
2022-08-01,371,2227423.12,384,1358,2406948.86
2022-08-02,396,2317797.42,401,1484,2503462.53
2022-08-03,424,2259029.23,420,1609,2441729.17
2022-08-04,419,2266900.92,397,1425,2463752.64
2022-08-05,404,2160752.93,416,1546,2447098.06
2022-08-06,268,1370176.67,344,988,1556879.64
2022-08-07,254,1337576.89,293,870,1433666.86
2022-08-08,401,2108320.6,363,1293,2301373.9
2022-08-09,397,2220973.55,359,1360,2430047.79
2022-08-10,377,2079509.45,386,1436,2330334.41
2022-08-11,419,2341528.75,425,1470,2595622.03
2022-08-12,390,2069146.87,372,1266,2256997.53
2022-08-13,261,1615410.78,320,1102,1685590.57
2022-08-14,249,1384454.78,330,985,1492162.21
2022-08-15,380,2166068.37,402,1491,2378666.31
2022-08-16,430,2136946.78,417,1485,2346775.2
2022-08-17,412,2543955.68,455,1665,2825239.64
2022-08-18,403,2544092.9,432,1788,2940011.9
2022-08-19,363,2080997.42,364,1273,2243475.18
2022-08-20,305,1703559.43,319,1094,1791184.25
2022-08-21,232,1427902.3,286,908,1503584.67
2022-08-22,341,2002736.46,352,1274,2173370.02
2022-08-23,388,2269701.99,425,1447,2503688.98
2022-08-24,432,2218591.07,449,1545,2460826.83
2022-08-25,405,2131570.25,404,1553,2454988.28
2022-08-26,412,2433926.14,437,1675,2676780.14
2022-08-27,294,1704658.15,349,1147,1786363.07
2022-08-28,206,1222512.84,299,844,1292226.01
2022-08-29,386,2019380.85,390,1358,2244158.34
2022-08-30,435,2437571.75,419,1552,2623401.02
2022-08-31,407,2476372.98,417,1544,2590271.18
2022-09-01,356,2056997.94,405,1436,2239011.91
2022-09-02,426,2426570.2,389,1453,2593025.96
2022-09-03,308,1918111.76,348,1222,1969230.36
2022-09-04,257,1481596.2,302,931,1544985.62
2022-09-05,407,2381288.25,396,1479,2542444.74
2022-09-06,427,2455462.0,438,1768,2757314.5
2022-09-07,429,2385833.69,441,1548,2689889.56
2022-09-08,411,2258652.92,431,1535,2576162.56
2022-09-09,418,2295036.47,386,1541,2453746.68
2022-09-10,325,1882295.69,368,1302,1959454.17
2022-09-11,254,1397456.95,284,933,1460111.89
2022-09-12,421,2605058.75,414,1734,2781241.08
2022-09-13,431,2466146.41,373,1599,2648637.44
2022-09-14,416,2399767.3,413,1598,2673378.46
2022-09-15,458,2791464.3,464,1851,2983205.98
2022-09-16,480,2695973.7,440,1842,2868835.35
2022-09-17,371,2160213.6,377,1461,2231590.84
2022-09-18,268,1538895.03,316,1090,1665388.84
2022-09-19,436,2421588.29,411,1471,2549965.8
2022-09-20,444,2764266.01,436,1815,2959654.15
2022-09-21,444,2632587.86,434,1867,2929824.2
2022-09-22,454,2564110.59,462,1677,2813374.14
2022-09-23,469,2653106.37,467,1846,2962446.31
2022-09-24,358,2023947.28,332,1218,2135886.99
2022-09-25,282,1639653.37,310,1104,1672906.48
2022-09-26,439,2393196.42,399,1467,2558201.37
2022-09-27,467,2623457.57,399,1596,2852804.23
2022-09-28,418,2293170.25,391,1591,2488240.93
2022-09-29,469,2535672.87,435,1649,2797228.14
2022-09-30,474,2605297.24,427,1669,2787674.92
2022-10-01,319,1953716.63,332,1226,2001010.66
2022-10-02,257,1526133.79,332,1077,1586347.74
2022-10-03,412,2608706.99,401,1547,2714101.57
2022-10-04,423,2644520.32,428,1732,2865770.57
2022-10-05,487,2645881.91,381,1791,2787624.48
2022-10-06,439,2530260.44,406,1661,2674864.2
2022-10-07,436,2532778.58,382,1656,2656673.84
2022-10-08,345,2119557.54,354,1538,2210922.19
2022-10-09,269,1426576.36,286,971,1503249.61
2022-10-10,448,2638890.16,408,1790,2817678.1
2022-10-11,468,2655356.96,433,1701,2868420.43
2022-10-12,459,2676447.68,449,1747,2911164.08
2022-10-13,476,2549240.76,383,1583,2747854.21
2022-10-14,459,2514460.15,421,1697,2767964.01
2022-10-15,373,2165046.3,374,1343,2290997.97
2022-10-16,300,1700841.83,314,1079,1738816.6
2022-10-17,470,2709791.14,352,1633,2760574.12
2022-10-18,479,2845986.3,414,1658,2966107.34
2022-10-19,483,2734439.18,396,1688,2902961.76
2022-10-20,518,2778336.81,476,2087,3154287.71
2022-10-21,477,2608936.77,442,1799,2805709.82
2022-10-22,363,2159907.98,357,1443,2214428.77
2022-10-23,311,1619274.13,352,1178,1674605.45
2022-10-24,466,2419827.62,392,1690,2685100.54
2022-10-25,494,2698271.43,492,1819,3085525.12
2022-10-26,476,2468375.35,463,1744,2872398.65
2022-10-27,506,2484995.79,462,1875,2875385.37
2022-10-28,447,2387164.29,477,1757,2760727.15
2022-10-29,346,1930343.61,370,1330,2172845.98
2022-10-30,308,1624327.23,339,1081,1759460.55
2022-10-31,446,2538997.53,456,1708,2738315.4
2022-11-01,410,2396036.88,462,1559,2789891.51
2022-11-02,451,2535923.69,439,1690,2794888.09
2022-11-03,437,2529424.78,454,1631,2806364.25
2022-11-04,320,1862475.83,347,1169,1930426.6
2022-11-05,299,1736361.97,342,1167,1832095.61
2022-11-06,257,1394343.47,287,852,1460184.71
2022-11-07,438,2324926.7,372,1408,2421521.32
2022-11-08,445,2385367.92,404,1657,2558977.15
2022-11-09,479,2737011.61,453,1888,3060621.42
2022-11-10,491,2714052.47,454,1796,3014432.55
2022-11-11,443,2665628.43,413,1683,2862920.83
2022-11-12,376,2219606.68,354,1346,2320661.48
2022-11-13,288,1511891.21,299,1056,1564978.32
2022-11-14,462,2598165.47,449,2008,2935722.19
2022-11-15,486,2714936.28,468,1894,3078603.43
2022-11-16,476,2733367.97,517,2015,3300843.27
2022-11-17,521,2915779.76,512,1969,3292977.05
2022-11-18,449,2580208.44,435,1623,2819359.02
2022-11-19,403,2098197.67,429,1548,2276880.05
2022-11-20,320,1809917.56,356,1281,1958623.34
2022-11-21,496,3064617.69,454,1827,3287571.44
2022-11-22,471,3042093.44,481,2028,3301317.81
2022-11-23,465,2577711.04,470,1765,2961703.22
2022-11-24,485,2920255.53,421,1815,3181877.95
2022-11-25,518,2945205.47,412,1742,3145621.22
2022-11-26,433,2522565.25,386,1706,2641021.8
2022-11-27,368,2062158.92,362,1336,2186800.42
2022-11-28,472,2580751.57,426,1685,2875835.03
2022-11-29,560,3071595.07,477,1936,3388729.03
2022-11-30,507,2823406.98,484,1965,3155529.09
2022-12-01,467,2655459.74,461,1722,2954366.36
2022-12-02,455,2604002.48,420,1718,2820954.0
2022-12-03,423,2219689.14,340,1390,2274356.13
2022-12-04,307,1598251.89,294,966,1671655.16
2022-12-05,527,3056301.85,448,1935,3280154.43
2022-12-06,505,2981901.18,480,2017,3336011.92
2022-12-07,498,2954228.57,462,1903,3236499.17
2022-12-08,476,2645031.53,455,1752,2941190.54
2022-12-09,464,2649536.98,434,1700,2869657.39
2022-12-10,418,2235066.9,372,1503,2364795.51
2022-12-11,339,1809957.98,352,1210,1938621.19
2022-12-12,497,2689516.39,451,1698,2970631.81
2022-12-13,472,2696244.78,480,1942,3021782.61
2022-12-14,450,2511990.27,449,1561,2865312.92
2022-12-15,470,2662322.61,428,1656,2886476.16
2022-12-16,426,2515599.43,424,1553,2769405.82
2022-12-17,392,2220933.82,401,1508,2385116.36
2022-12-18,291,1577791.5,325,1024,1735973.81
2022-12-19,440,2663707.99,426,1768,2792015.2
2022-12-20,467,2732402.12,455,1850,2933009.11
2022-12-21,451,2354573.02,426,1658,2666827.4
2022-12-22,431,2314357.62,398,1465,2641992.94
2022-12-23,391,1932567.69,374,1315,2163204.6
2022-12-24,378,1957252.81,336,1156,2056455.5
2022-12-25,294,1646044.87,323,1009,1704948.16
2022-12-26,413,2312124.71,408,1310,2434535.28
2022-12-27,459,2683969.54,437,1656,2879121.61
2022-12-28,381,2141886.38,428,1370,2395178.03
2022-12-29,354,1914082.02,385,1155,2100942.45
2022-12-30,301,1468441.15,296,874,1531410.23
2022-12-31,141,609354.95,150,368,612587.99
2023-01-01,37,179060.4,66,97,179060.4
2023-01-02,152,948534.28,210,552,968552.63
2023-01-03,158,1124178.11,271,684,1171228.5
2023-01-04,187,1195299.96,254,681,1228108.76
2023-01-05,216,1364029.06,304,858,1519007.68
2023-01-06,207,1260942.44,256,661,1328992.66
2023-01-07,141,724362.27,225,485,810696.05
2023-01-08,207,1285142.25,259,803,1311204.8
2023-01-09,302,1952601.72,327,1122,2018916.87
2023-01-10,358,2021073.1,363,1257,2209434.86
