service_date,unique_patients,non_hospital_ammount,unique_service_codes,total_racords,lag_1,EMA_12,total_amount_net
2022-11-20,1920,17450573.15,1044,12338,17529322.63175367,17648762.076009456,19663008.35
2022-11-27,2040,19134607.34,978,12219,18951779.777251225,18119248.042255234,20705913.86
2022-12-04,2041,17553156.87,980,11382,20121202.499083742,18276549.832916897,19141424.8
2022-12-11,2060,18332024.99,932,12020,19468017.36636125,18536669.668598395,19966930.15
2022-12-18,1927,16874398.8,1020,10942,19800625.88878708,18551754.188758466,18634699.49
2022-12-25,1810,15600906.12,913,10221,19023341.622929025,18306589.531989045,16958452.91
2023-01-01,1416,11308919.15,820,6830,17646749.14764301,17356645.615768455,12132835.99
2023-01-08,874,7902488.37,628,4724,13970807.042547671,15968961.825068528,8337791.08
2023-01-15,1602,14903657.22,870,9268,10215463.06751589,15927602.051688185,15700150.79
2023-01-22,1801,18491012.87,888,10859,13871921.549171962,16445456.660968484,19293365.75
2023-01-29,1930,19019515.35,973,11571,17486217.68305732,17039480.113438856,20306326.4
2023-02-05,2011,19248981.83,1061,12220,19366290.161019105,17666203.931007076,21112932.55
2023-02-12,2054,19549897.49,979,11488,20530718.420339704,18092084.714684583,20434283.91
2023-02-19,2025,18795981.36,944,11208,20466428.7467799,18344612.73221562,19733444.02
2023-02-26,1740,15613595.41,842,9404,19977772.262259964,18064008.78006301,16520755.5
2023-03-05,2006,19267443.27,996,11712,17673094.42075332,18433901.78418698,20468236.95
2023-03-12,1961,18313468.47,959,11330,19536522.77358444,18584535.052972857,19412991.72
2023-03-19,2168,20565376.68,1120,13287,19454168.73786148,19241011.810426477,22851536.95
2023-03-26,2153,20194053.09,953,11916,21719080.879287157,19550413.654043052,21252085.1
2023-04-02,2114,20545064.79,952,12294,21407750.359762385,19851356.98664234,21506513.47
2023-04-09,2222,20785059.94,982,12571,21473592.433254126,20187139.72040421,22033914.69
2023-04-16,2034,18854140.05,1056,11842,21847140.604418043,20243194.2260287,20551489.76
2023-04-23,2060,18550175.24,1071,11497,20983373.374806017,20233258.20556492,20178610.73
2023-04-30,1869,16457686.06,952,10241,20446864.94493534,19842395.855067678,17692674.13
2023-05-07,1481,13542636.85,938,8731,18610737.73497845,19030335.506002873,14564040.86
2023-05-14,1533,13423256.89,899,8635,15912939.818326151,18347617.642631173,14592695.91
2023-05-21,1748,15905334.37,971,10126,15032777.212775385,18251989.894123517,17726040.42
2023-05-28,1846,16952779.12,920,10151,16828286.017591797,18241740.7588731,18185370.8
2023-06-04,1921,17588511.76,935,10312,17733009.205863934,18283115.585743453,18510676.16
2023-06-11,1767,16169802.85,972,10415,18251453.841954645,18191915.19781927,17690314.88
2023-06-18,1806,16359913.65,987,10050,17877361.200651545,18109826.948476765,17658342.96
2023-06-25,1782,16786312.39,952,10336,17731349.04021718,18124949.926491898,18208126.09
2023-07-02,1835,17032697.87,928,10292,18049200.40673906,18152548.42747568,18304339.85
2023-07-09,1707,15937228.47,932,9861,18219293.36891302,18018701.745394323,17282546.36
2023-07-16,1688,16774240.21,968,10502,17594795.362971008,18045203.85208296,18190965.21
2023-07-23,1668,16918003.47,982,10497,17992241.927657004,18036571.791289072,17989095.52
2023-07-30,1752,16098127.16,910,9792,17990144.322552335,17936196.475608744,17384132.86
2023-08-06,1716,16131033.81,977,9522,17586136.680850778,17844584.013314337,17340715.95
2023-08-13,1740,16542826.91,975,9963,17422522.860283595,17828826.682072554,17742161.43
2023-08-20,1768,17716948.64,925,10381,17635615.24009453,17968221.711316716,18734893.85
2023-08-27,1804,17646878.92,1051,10901,18368467.646698177,18141406.083256647,19093919.58
