service_date,unique_patients,hospital_ammount,non_hospital_ammount,hospital_unique_patients,unique_service_codes,high_cost_proportion,service_code_hhi,mean_ammount,total_racords,lag_1,lag_7,lag_14,rolling_mean_7,rolling_mean_14,EMA_7,EMA_14,total_amount_net
2022-01-13,332,99784.46,2000301.63,11,346,0.2550335570469799,0.0082977681185532,1761.8171895973153,1192,2054550.4938185469,925952.7793468959,1298460.3307142854,1597709.7799999998,1217747.4738461538,1737532.476869194,1507740.6972290573,2100086.09
2022-01-14,381,72116.65,2275610.82,9,377,0.2259552042160738,0.0084606157814612,1546.5925362318842,1518,2084907.5642864248,858001.3594993907,1298460.3307142854,1829842.73,1298460.3307142856,1892848.6404807903,1637199.6191671265,2347727.47
2022-01-15,292,47768.35,1709101.45,3,278,0.2763440860215054,0.008380159556018,1889.107311827957,930,2260120.8469730564,994780.2225133136,1080604.4750206552,1899766.8614285714,1412571.6592857144,1858393.4903046142,1655267.6330705772,1756869.8
2022-01-16,243,58548.12,1412408.87,4,280,0.2115171650055371,0.0097656513479738,1628.9667663344408,903,1924620.1411971452,1061565.2210846534,973238.4991599228,1939213.5471428572,1480932.4949999999,1760553.7571338569,1627922.6839334823,1470956.99
2022-01-17,365,122994.29,2333356.68,9,353,0.2860483242400624,0.0087814206886747,1914.536999220577,1283,1622178.0380570807,1272410.8938174273,958506.7614249961,2048197.9371428571,1592465.6114285716,1935820.5313713355,1749011.1362338236,2456350.97
2022-01-18,391,133630.28,2396744.89,9,377,0.2613718411552346,0.0085636460790574,1826.9856823104687,1385,2178293.3274544575,1536808.3409639848,947661.9453427065,2114670.6,1708887.375,2085301.9237863235,1861773.2782173336,2530375.17
2022-01-19,360,87241.58,2193010.01,4,332,0.2592307692307692,0.0089278106508875,1754.0396846153844,1300,2413014.556020105,1738072.2527156672,990476.0465003597,2134659.725714286,1787624.032142857,2134246.2909550886,1921509.781837414,2280251.59
2022-01-20,346,158264.32,1951571.46,8,352,0.2631578947368421,0.0080809599778452,1820.3932528041407,1159,2324505.911981317,1858779.8320390051,992283.242412951,2136052.5385714285,1866881.1592857144,2128124.2489235355,1948142.0382039745,2109835.78
2022-01-21,403,120432.77,2273257.56,7,348,0.2656934306569343,0.0087623208482071,1747.2192189781022,1370,2181392.4906467577,2021795.0602600793,942550.3682238368,2142618.661428571,1986230.6957142856,2194674.051839808,2010644.4018868038,2393690.33
2022-01-22,279,81823.4,1599692.89,5,284,0.1993097497842968,0.0121649900504808,1450.8337273511647,1159,2322924.3835534295,1933474.835541024,1002337.3717512251,2131853.8742857142,2015810.367857143,2066155.358872254,1964792.289706377,1681516.29
2022-01-23,282,32681.09,1490742.03,3,280,0.2272240085744908,0.0111236328086856,1632.822207931404,933,1895318.987846601,1779288.4816182894,1037685.944954644,2139349.035714286,2039281.2914285713,1930290.531710857,1903668.9913308723,1523423.12
2022-01-24,395,184522.36,2258079.57,6,382,0.2689556509298998,0.0080720260498852,1747.2116809728184,1398,1647388.4092813225,2004989.3850996448,1157891.0966502135,2137384.887142857,2092791.4121428574,2058497.0225577843,1977920.9024152467,2442601.93
2022-01-25,383,191997.09,2253952.82,9,377,0.2539682539682539,0.0087943962402836,1764.754624819625,1386,2177530.756427733,2180124.9158061417,1323932.2585154856,2125324.1357142855,2119997.367857143,2155433.193099339,2042118.7722004033,2445949.91
2022-01-26,342,201063.26,1960933.13,10,404,0.2523885350318471,0.0072835104872408,1721.334705414013,1256,2356476.8588093147,2213501.3550561084,1473176.8800946183,2108430.535714286,2121545.1307142857,2157074.9189270283,2058499.1697945942,2161996.39
2022-01-27,336,171892.59,1981009.65,11,372,0.2469635627530364,0.0084453113475061,1743.2406801619436,1235,2226823.2129364214,2178945.5551559776,1587668.2021882578,2114582.887142857,2125317.712857143,2156031.3074285807,2071356.1093031524,2152902.24
2022-01-28,355,178573.21,2079636.18,9,383,0.2583081570996979,0.0084986902273619,1705.5962160120846,1324,2177542.5643121386,2250527.986716317,1726364.1332708907,2095228.4671428574,2118923.5642857146,2181583.940502767,2096731.4857000457,2258209.39
2022-01-29,307,78723.95,1807959.48,5,325,0.2476808905380333,0.0089546022490628,1750.1701576994433,1078,2231320.448104047,2060855.937407563,1731927.1360058186,2124538.0585714285,2128195.9664285714,2107841.254046299,2068276.4676332183,1886683.43
2022-01-30,262,78127.39,1427501.32,6,272,0.2391559202813599,0.0090556878763181,1765.0981359906214,853,2001562.436034681,1881710.7306790943,1684362.4660848724,2121996.0000000005,2130672.517857143,1957261.2271387812,1992217.533365643,1505628.71
